maturity,strike,call_price
0.1,0.5,50.00041614332082
0.1,0.6,40.002271900736815
0.1,0.7,30.012051581807043
0.1,0.8,20.06422190356257
0.1,0.9,10.351918282245876
0.1,1.0,2.2096599517097886
0.1,1.1,0.04287876506532129
0.1,1.2,0.0014128533199224552
0.1,1.3,0.0001334855021356239
0.1,1.4,2.086851284675839e-05
0.1,1.5,4.3223623852890844e-06
0.3,0.5,50.017576799004004
0.3,0.6,40.0512185473383
0.3,0.7,30.14578346909451
0.3,0.8,20.416463108563704
0.3,0.9,11.222284408604722
0.3,1.0,3.725915951351695
0.3,1.1,0.44197617972005077
0.3,1.2,0.04247395162588985
0.3,1.3,0.006305320502187267
0.3,1.4,0.0014220102342160992
0.3,1.5,0.00042918123873668043
0.6,0.5,50.07689073852834
0.6,0.6,40.18618869571015
0.6,0.7,30.43362060190573
0.6,0.8,20.990512084709096
0.6,0.9,12.253404929187653
0.6,1.0,5.137324395011127
0.6,1.1,1.2291759343779702
0.6,1.2,0.2350100484550559
0.6,1.3,0.05279310134641446
0.6,1.4,0.015080596704636795
0.6,1.5,0.005316050005816059
0.9,0.5,50.153566398139084
0.9,0.6,40.34307139598383
0.9,0.7,30.729629234021253
0.9,0.8,21.507769643105078
0.9,0.9,13.067276676913004
0.9,1.0,6.1643225070667995
0.9,1.1,1.9697034835230731
0.9,1.2,0.5210987504554065
0.9,1.3,0.14848193270417953
0.9,1.4,0.049750953238790085
0.9,1.5,0.019588059560426363
1.2,0.5,50.2531364451312
1.2,0.6,40.52783778605196
1.2,0.7,31.047185658574307
1.2,0.8,22.01299123570653
1.2,0.9,13.791308449085356
1.2,1.0,7.024418649784188
1.2,1.1,2.6528408364885046
1.2,1.2,0.8570204138400914
1.2,1.3,0.28746531713456136
1.2,1.4,0.10830771600667699
1.2,1.5,0.046245258150867774
1.5,0.5,50.35970050987844
1.5,0.6,40.714081600736655
1.5,0.7,31.350455688751396
1.5,0.8,22.472053946643065
1.5,0.9,14.422516510859218
1.5,1.0,7.762767078613926
1.5,1.1,3.2783016008368904
1.5,1.2,1.213402284832224
1.5,1.3,0.45776769279896623
1.5,1.4,0.18862904349038212
1.5,1.5,0.08609427408647097
1.8,0.5,50.48077755212225
1.8,0.6,40.914145287324125
1.8,0.7,31.65774231861902
1.8,0.8,22.91191798962241
1.8,0.9,14.999886657468622
1.8,1.0,8.422830747307586
1.8,1.1,3.8548689738521773
1.8,1.2,1.5743816225720906
1.8,1.3,0.6489391642369764
1.8,1.4,0.28666503374040087
1.8,1.5,0.13783567196988233
2.0,0.5,50.54118450986573
2.0,0.6,41.0177813299183
2.0,0.7,31.823052944731764
2.0,0.8,23.157100756027134
2.0,0.9,15.331989981957207
2.0,1.0,8.81509543891751
2.0,1.1,4.211709254792986
2.0,1.2,1.811585990418024
2.0,1.3,0.782710729265828
2.0,1.4,0.35913882701132227
2.0,1.5,0.17789041166934494
